row_index,WC,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,tensem,focuspast,focuspresent,focusfuture,progm,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
29,124,12.4,31.45,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.19,0.81,4.03,0.0,6.45,1.61,11.29,1.61
30,1547,773.5,36.46,17.32,2.33,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.13,0.39,0.26,0.13,0.26,0.32,0.13,0.13,0.58,0.19,0.39,0.26,0.0,9.83,0.26,0.26,0.26,0.0,0.0,0.0,0.0,0.26,0.0,0.06,0.0,0.0,0.39,0.0,0.0,0.26,0.19,0.0,0.06,2.91,2.59,0.06,0.13,0.26,0.0,0.0,0.06,0.19,0.26,0.06,0.06,0.13,0.06,0.0,0.06,0.06,0.0,0.0,0.0,1.62,0.06,1.1,0.78,0.52,0.13,0.06,0.0,0.06,0.0,0.26,0.0,0.0,0.19,0.06,0.0,92.18,0.26,4.33,0.0,0.0,8.66,78.93,0.78
32,154,51.33,0.65,57.79,32.47,4.55,3.9,1.3,1.3,1.3,0.0,0.0,0.0,0.65,1.3,3.25,10.39,0.65,1.3,1.3,0.0,0.65,10.39,4.55,5.84,2.6,0.0,5.19,1.95,11.69,8.44,2.6,0.65,0.0,0.0,5.84,0.0,0.0,0.65,0.0,7.14,3.9,0.0,2.6,1.95,1.3,0.0,2.6,1.95,0.0,0.0,1.3,0.65,0.0,0.0,0.65,10.39,3.25,0.0,4.55,2.6,0.65,6.49,0.0,1.3,2.6,2.6,6.49,1.3,3.25,3.25,3.25,1.3,0.0,0.0,0.0,0.65,7.79,0.0,1.3,7.14,0.65,0.0,39.61,3.25,2.6,0.0,0.0,7.14,26.62,5.19
33,29,29.0,0.0,62.07,37.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.24,17.24,0.0,0.0,0.0,0.0,0.0,3.45,3.45,0.0,0.0,0.0,0.0,0.0,17.24,6.9,3.45,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,10.34,0.0,0.0,6.9,3.45,6.9,0.0,3.45,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,3.45,3.45,6.9,0.0,0.0,0.0,0.0,0.0,0.0,17.24,3.45,0.0,13.79,3.45,0.0,0.0,0.0,0.0,0.0,13.79,0.0,0.0,10.34,0.0,3.45,48.28,0.0,3.45,0.0,0.0,13.79,31.03,3.45
34,960,64.0,1.46,59.9,33.75,4.58,1.46,0.94,0.0,0.1,0.21,0.1,0.1,3.13,3.44,3.75,8.85,2.4,2.19,0.31,0.52,0.31,8.65,0.63,8.02,4.48,0.73,2.08,2.71,8.96,5.52,2.5,0.31,0.52,0.52,6.04,0.0,0.42,0.1,0.1,12.6,3.75,1.15,1.56,2.6,2.92,1.35,3.44,0.63,0.52,1.56,2.4,1.04,0.83,0.21,0.42,5.42,1.15,1.98,0.52,1.98,0.73,4.27,0.63,1.04,0.42,2.29,11.15,3.02,4.27,5.52,2.71,1.25,0.1,0.42,0.1,0.31,5.0,0.0,0.42,4.38,0.21,0.52,33.96,4.69,4.27,0.0,0.0,8.75,16.25,2.08
35,229,32.71,5.68,34.5,19.65,4.37,2.62,0.44,0.0,1.75,0.0,0.0,0.44,1.75,0.87,0.87,7.86,1.75,0.0,0.44,0.0,0.0,3.49,0.87,2.62,1.31,0.0,2.62,0.0,8.3,6.99,0.87,0.0,0.0,0.0,6.11,0.44,0.87,0.0,0.0,4.8,0.44,0.87,0.44,0.0,2.18,0.44,1.31,0.0,0.44,0.44,0.87,0.44,0.0,0.0,0.44,3.06,1.75,0.44,0.0,1.31,0.0,0.0,0.0,0.0,0.0,0.0,2.18,0.87,0.44,1.75,1.31,1.75,0.0,0.0,0.0,0.0,2.62,0.44,0.44,1.75,0.44,0.0,27.51,3.49,5.24,0.0,1.31,8.3,9.17,2.18
36,698,69.8,0.29,66.91,39.26,4.58,2.72,0.72,1.0,0.86,0.14,0.0,0.0,1.86,4.44,5.59,9.17,2.15,1.29,1.29,1.58,0.72,8.88,0.72,8.17,4.3,0.72,4.44,1.58,6.59,4.3,1.15,0.14,0.14,0.0,8.31,0.43,1.15,0.0,0.0,13.75,3.72,1.43,3.01,2.58,2.87,1.0,3.15,1.0,1.0,0.0,1.86,0.29,0.29,0.29,1.0,7.88,4.15,2.01,0.86,1.43,0.57,5.44,0.86,0.86,2.44,1.29,16.19,5.87,6.73,10.32,2.58,2.44,0.0,0.43,0.29,0.14,3.58,0.14,0.0,2.44,0.29,0.86,18.19,1.72,1.86,0.0,0.0,4.01,10.6,5.87
38,106,53.0,10.38,42.45,24.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,6.6,0.94,1.89,2.83,1.89,0.0,7.55,0.0,7.55,3.77,0.0,2.83,0.94,6.6,1.89,4.72,0.0,0.94,2.83,0.0,0.0,0.0,0.0,0.0,4.72,1.89,0.94,0.0,0.94,0.94,0.0,3.77,1.89,0.0,1.89,2.83,1.89,0.0,0.0,0.94,2.83,0.0,0.0,1.89,0.0,1.89,2.83,0.0,0.0,0.94,1.89,9.43,2.83,2.83,5.66,0.0,0.94,0.0,0.0,0.0,0.0,3.77,0.94,0.0,1.89,0.0,0.94,22.64,0.94,4.72,0.0,0.0,11.32,5.66,0.0
39,365,365.0,0.0,49.59,30.68,4.38,3.56,2.47,0.27,0.82,0.0,0.0,0.0,0.82,2.74,1.92,10.41,3.01,1.37,0.82,0.82,0.82,5.48,2.47,3.01,4.11,0.27,3.29,1.64,6.3,3.29,2.47,0.27,0.55,0.0,4.66,0.55,0.27,0.0,0.0,9.59,2.19,1.64,0.82,1.92,1.64,1.92,1.92,0.55,0.27,0.0,1.37,0.27,0.27,0.27,0.82,4.93,1.92,0.82,0.82,1.1,0.27,2.47,0.27,0.55,0.82,0.82,9.59,2.47,3.29,4.66,0.82,0.27,0.27,0.27,1.1,0.0,6.58,0.27,0.0,4.11,0.27,2.19,32.6,0.82,2.74,0.0,0.0,6.3,22.74,0.82
40,354,118.0,0.56,50.85,28.25,3.39,2.26,1.41,0.0,0.85,0.0,0.0,0.0,1.13,1.98,4.24,9.04,3.11,0.85,0.85,0.85,0.28,4.24,0.56,3.67,3.67,0.85,8.76,1.98,6.78,5.93,0.56,0.0,0.0,0.0,2.54,0.0,0.28,0.0,0.0,7.91,0.56,0.28,1.69,1.69,1.98,2.54,2.26,0.85,0.56,0.0,1.13,0.0,0.0,0.0,0.85,4.52,0.85,1.13,0.85,1.69,0.56,2.54,0.56,0.28,1.41,0.28,8.47,2.54,2.82,4.8,1.13,0.85,0.0,0.0,0.0,0.0,2.26,0.0,0.56,1.98,0.28,0.0,52.26,6.5,4.52,0.0,0.0,9.6,31.64,4.52
41,103,20.6,5.83,31.07,14.56,1.94,0.97,0.0,0.0,0.0,0.0,0.0,0.97,0.97,1.94,1.94,2.91,0.0,0.97,0.97,0.97,0.0,3.88,0.97,2.91,2.91,0.0,8.74,0.97,0.97,0.0,0.0,0.0,0.0,0.0,4.85,0.0,0.0,0.97,0.0,4.85,0.0,0.0,0.97,0.0,2.91,0.97,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,1.94,1.94,0.0,0.0,0.97,0.0,0.97,0.97,0.0,0.0,0.97,0.0,2.91,0.97,2.91,1.94,0.97,0.97,0.97,0.0,0.0,0.0,1.94,0.0,0.97,0.97,0.0,0.0,118.45,6.8,29.13,0.0,0.0,57.28,25.24,65.05
42,14624,235.87,1.0,59.1,36.34,4.41,2.32,1.37,0.43,0.14,0.24,0.14,0.01,2.09,3.94,4.79,9.01,2.68,1.9,1.04,1.46,0.69,7.84,0.53,7.31,4.31,0.72,2.32,1.74,5.38,3.72,1.15,0.16,0.11,0.13,5.58,0.24,0.3,0.12,0.06,11.89,3.47,1.35,2.23,2.56,2.26,1.85,3.04,1.22,0.88,0.48,1.67,0.57,0.44,0.09,0.63,5.96,1.37,1.63,2.36,0.83,0.62,3.68,0.69,0.73,1.06,1.17,13.07,3.88,6.02,6.51,2.15,1.17,0.3,0.65,0.3,0.14,4.71,0.03,0.26,3.11,0.47,1.22,16.96,0.62,0.42,0.02,0.1,0.78,15.02,2.03
43,1707,189.67,2.75,62.98,39.31,7.38,5.21,2.58,1.93,0.47,0.0,0.18,0.06,2.17,3.34,4.51,8.03,2.93,1.17,0.88,1.52,1.05,9.31,0.41,8.9,4.34,0.53,2.75,2.05,6.74,4.34,1.29,0.29,0.06,0.29,7.26,0.23,0.59,0.0,0.0,12.01,3.98,1.23,2.52,2.81,1.82,1.35,2.58,0.7,1.17,0.35,1.05,0.23,0.41,0.06,0.29,9.14,3.51,3.1,2.64,1.35,0.64,6.03,0.76,0.7,2.28,2.28,12.83,4.45,5.86,7.56,3.75,2.23,0.18,0.12,0.06,0.18,4.34,0.06,0.06,3.4,0.23,0.88,11.48,0.64,2.05,0.0,0.0,3.4,5.39,0.41
44,8414,145.07,0.58,60.61,34.05,5.17,3.73,2.47,0.44,0.46,0.26,0.07,0.02,1.44,3.71,3.85,8.0,2.6,1.55,0.82,1.53,0.69,7.24,0.25,6.99,3.93,0.82,5.05,1.9,6.73,4.05,1.64,0.14,0.2,0.19,5.69,0.26,0.53,0.15,0.14,11.26,4.02,1.28,1.7,2.2,1.75,1.84,2.84,1.18,0.63,0.31,1.62,0.33,0.48,0.07,0.83,6.06,1.87,1.45,2.31,0.86,0.53,4.18,0.82,0.7,0.93,1.74,10.86,3.65,4.83,5.56,2.6,1.76,0.43,0.26,0.24,0.24,4.67,0.15,0.65,3.11,0.23,0.89,18.5,1.41,0.84,0.0,0.0,1.57,14.68,1.49
45,15073,1076.64,0.68,55.27,31.81,4.23,2.79,1.7,0.36,0.44,0.2,0.06,0.04,1.44,3.42,3.68,7.74,2.28,1.55,1.09,1.16,0.62,7.12,0.76,6.36,3.56,0.64,2.92,1.52,5.88,3.83,1.41,0.28,0.21,0.2,4.86,0.3,0.46,0.15,0.15,10.16,2.9,1.01,1.9,1.96,1.81,1.85,2.77,0.74,0.51,0.38,3.06,0.47,0.5,0.23,1.9,5.45,1.64,1.32,1.72,1.04,0.44,3.26,0.42,0.45,0.9,1.51,11.64,3.91,4.67,5.75,1.51,1.96,0.45,0.56,0.18,0.14,4.49,0.12,0.42,3.23,0.48,0.73,23.51,0.17,1.16,0.0,0.01,2.32,19.85,3.76
46,5351,178.37,0.64,62.44,38.16,5.33,3.85,1.92,0.32,0.97,0.56,0.04,0.04,1.48,3.1,4.52,11.36,2.26,2.21,1.38,1.05,0.39,8.35,1.87,6.48,4.2,0.78,3.79,1.64,7.23,4.49,2.15,0.13,0.17,0.32,6.15,0.24,0.19,0.21,0.09,11.25,2.99,1.01,2.28,2.19,2.3,2.06,3.68,1.21,1.1,0.36,2.64,0.71,0.28,0.28,1.42,4.5,1.38,1.07,1.36,0.73,0.43,3.79,0.34,0.62,1.42,1.44,12.33,4.19,4.73,6.54,1.25,2.04,0.28,0.45,0.09,0.15,6.43,0.17,0.93,4.41,0.97,1.01,21.04,0.73,1.14,0.0,0.15,2.26,16.76,3.36
47,5618,330.47,0.57,66.54,44.39,7.14,3.72,1.99,0.39,0.82,0.05,0.25,0.21,3.42,4.34,5.45,13.49,2.44,1.55,0.52,1.14,0.73,8.83,1.33,7.49,6.19,1.03,1.03,2.28,6.92,4.72,1.25,0.12,0.16,0.14,6.85,0.36,0.34,0.05,0.07,15.09,3.74,1.16,3.01,3.04,4.22,1.85,3.13,1.07,1.1,0.52,1.57,0.8,0.32,0.07,0.46,5.57,1.51,1.74,1.53,1.03,0.41,4.04,0.5,0.55,1.6,1.44,12.42,3.79,5.3,6.64,2.35,2.06,0.11,0.2,0.11,0.16,6.09,0.12,0.46,4.49,0.5,1.17,12.12,1.3,0.57,0.0,0.02,1.17,9.06,1.76
48,17835,1783.5,0.17,64.73,41.9,4.81,2.23,1.43,0.06,0.47,0.17,0.06,0.03,2.58,3.66,6.01,11.72,2.18,2.78,0.59,1.1,1.32,9.77,1.55,8.22,5.05,1.65,1.16,2.47,8.18,4.21,2.94,0.4,0.37,0.53,5.83,0.17,0.2,0.06,0.02,15.71,4.59,1.56,3.3,3.64,2.51,2.66,2.85,0.98,0.99,0.52,1.75,0.41,0.95,0.2,0.32,6.46,1.01,2.09,2.29,1.45,0.98,4.41,0.66,0.81,1.23,1.76,12.18,3.85,4.02,6.62,2.83,0.55,0.17,0.43,0.24,0.13,5.92,0.04,0.19,3.91,0.84,1.49,15.57,0.08,0.39,0.0,0.0,0.7,14.39,0.56
49,16105,366.02,0.37,60.69,36.19,6.02,4.3,2.52,0.3,1.18,0.17,0.06,0.06,1.72,3.12,5.48,9.36,2.57,2.44,0.68,1.06,0.59,6.74,1.58,5.16,4.17,0.73,3.81,1.51,9.18,5.41,2.64,0.43,0.36,0.6,6.37,0.42,0.32,0.25,0.14,12.53,3.51,1.3,3.01,2.7,2.09,2.12,2.87,0.89,0.79,0.43,2.66,0.65,1.15,0.22,0.81,5.9,1.48,1.4,2.06,1.18,0.74,3.88,0.65,0.7,1.35,1.27,10.11,3.18,3.55,5.71,1.86,1.21,0.4,0.37,0.24,0.24,5.28,0.06,0.71,3.8,0.61,0.93,28.98,0.71,1.29,0.12,0.07,2.38,24.41,0.34
50,1950,325.0,2.87,45.79,26.62,2.26,1.49,1.44,0.0,0.0,0.05,0.0,0.0,0.77,3.08,4.21,7.18,1.74,1.23,1.28,1.44,0.26,5.13,0.15,4.97,3.33,0.05,2.62,1.18,3.74,2.56,0.72,0.1,0.05,0.0,1.74,0.0,0.1,0.15,0.0,8.15,1.69,1.38,2.1,1.28,1.23,1.18,2.56,0.92,0.1,0.51,4.15,2.31,0.77,0.05,1.23,3.79,0.46,1.03,1.44,1.08,0.36,2.1,0.31,0.56,0.41,0.82,10.51,2.51,4.97,5.18,0.62,0.67,0.26,0.51,0.05,0.0,3.85,0.05,0.46,2.21,0.15,1.38,20.82,0.41,0.97,0.0,0.0,1.59,17.85,2.67
51,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
52,1928,642.67,2.8,53.99,28.48,4.62,2.8,1.45,0.47,0.78,0.05,0.0,0.05,1.82,2.44,2.18,8.87,2.13,1.4,0.78,1.04,0.36,5.81,1.5,4.3,2.9,0.52,2.75,1.3,8.45,6.12,1.92,0.36,0.16,0.26,4.36,0.05,0.1,0.05,0.0,10.01,2.23,0.78,1.24,1.71,3.37,1.45,2.13,0.26,0.41,0.36,3.84,1.35,0.83,0.05,1.71,4.72,1.09,1.61,1.3,0.67,0.67,2.8,0.21,0.41,1.14,0.99,11.2,4.36,3.63,5.65,2.23,3.27,0.67,0.41,0.41,0.26,5.71,0.0,1.56,4.25,0.31,0.67,34.13,1.4,1.14,0.0,0.0,2.44,29.15,8.14
53,14674,229.28,0.75,65.38,37.58,5.34,3.03,1.66,0.5,0.67,0.05,0.07,0.07,2.32,3.62,4.77,7.78,3.47,1.49,0.86,1.42,0.76,8.98,0.28,8.7,3.93,0.52,1.47,2.06,8.42,5.98,1.44,0.22,0.13,0.23,7.96,0.71,0.63,0.28,0.15,12.48,3.84,1.21,2.7,1.56,2.8,1.55,3.51,1.06,0.97,0.7,1.82,0.38,0.79,0.27,0.48,7.88,2.62,2.3,2.65,1.28,0.51,3.63,0.77,0.78,1.44,0.69,12.91,3.97,6.16,6.51,3.58,1.82,0.33,0.47,0.33,0.16,2.91,0.05,0.16,2.21,0.37,0.51,7.92,1.12,0.82,0.0,0.06,1.3,4.61,1.67
54,691,345.5,3.04,53.4,29.52,3.33,2.32,2.32,0.0,0.0,0.0,0.0,0.0,1.01,3.04,3.04,8.25,2.6,0.58,1.45,0.43,0.43,6.51,0.43,6.08,4.34,0.43,4.05,2.46,5.79,3.91,1.16,0.29,0.43,0.14,3.62,1.01,0.43,0.14,0.0,8.83,2.75,0.43,1.59,2.03,1.3,1.74,2.75,0.72,0.29,0.14,2.89,0.29,0.72,0.43,1.74,4.92,1.16,1.45,2.17,1.01,0.29,2.46,0.58,0.29,0.29,1.3,10.42,2.89,4.05,4.92,1.45,2.46,0.0,1.01,0.0,0.14,3.04,0.0,0.29,2.17,0.0,0.58,33.72,1.16,2.03,0.0,0.0,4.34,26.19,5.5
55,1109,41.07,0.18,58.7,33.54,4.51,2.89,1.98,0.63,0.18,0.0,0.09,0.0,1.62,2.07,3.43,11.0,2.34,1.44,0.99,0.72,0.63,7.84,1.44,6.4,3.79,0.81,6.76,2.34,7.48,5.68,1.62,0.27,0.27,0.36,3.34,0.09,0.27,0.18,0.0,13.26,2.98,0.27,2.43,2.43,4.69,1.89,2.71,1.08,0.27,0.45,2.61,0.63,0.45,0.36,1.17,5.23,1.53,0.81,1.26,1.44,0.54,2.89,0.27,0.18,0.99,1.53,8.03,2.52,3.16,3.97,0.72,1.62,0.27,0.27,0.09,0.09,6.76,0.18,0.63,5.59,0.36,0.36,24.71,2.34,0.99,0.0,0.0,2.16,19.21,6.85
56,6289,483.77,7.95,54.44,32.17,5.34,3.34,1.81,0.21,0.94,0.32,0.06,0.0,2.0,2.75,3.53,8.87,1.61,1.59,0.6,0.73,0.48,7.87,0.84,7.03,4.47,0.6,2.45,1.83,7.46,5.07,1.59,0.19,0.22,0.38,5.82,0.4,0.33,0.48,0.06,10.94,3.58,0.76,2.53,2.43,2.02,1.35,2.5,0.78,0.57,0.37,2.32,0.57,0.68,0.27,0.81,4.79,1.3,1.05,1.18,1.34,0.64,3.8,0.52,0.65,0.95,1.83,10.91,2.51,3.82,6.63,1.05,1.24,0.22,0.38,0.35,0.13,5.06,0.1,0.41,3.8,0.4,0.95,35.97,1.34,5.69,0.02,0.35,11.35,17.22,3.24
57,445,111.25,0.22,48.31,28.31,4.04,1.8,1.57,0.22,0.0,0.0,0.0,0.0,2.25,4.04,2.25,4.94,1.8,0.9,0.67,1.35,0.22,8.31,0.22,8.09,2.92,0.22,2.92,2.7,6.29,3.82,1.57,0.22,0.45,0.67,3.15,0.22,0.0,0.22,0.22,8.09,3.37,0.45,0.9,1.35,1.57,1.35,3.15,1.57,0.45,0.45,2.25,0.45,0.9,0.45,0.45,3.15,0.45,0.67,0.9,0.9,0.9,2.7,0.0,0.22,0.9,1.35,11.01,3.82,4.49,6.07,0.45,2.25,0.45,0.22,0.0,0.0,2.47,0.0,0.0,2.02,0.0,0.45,41.57,2.92,8.09,0.0,0.0,15.73,14.83,2.7
58,262,87.33,3.05,59.92,33.21,5.34,2.29,1.91,0.0,0.0,0.0,0.38,0.0,3.05,3.44,6.11,6.87,1.15,1.91,0.76,0.38,0.76,7.63,0.76,6.87,2.67,0.38,4.2,0.38,8.78,6.11,1.53,0.0,0.38,0.0,4.96,0.76,0.0,0.0,0.38,10.69,4.58,0.38,4.2,1.53,1.91,0.38,5.34,2.67,0.76,0.76,1.91,0.76,0.0,0.38,0.76,5.34,0.38,0.76,1.91,1.91,0.76,2.67,0.0,0.38,0.76,1.53,7.63,1.53,4.2,4.96,1.53,2.67,0.38,0.0,0.0,0.0,7.25,0.0,1.53,5.34,0.0,0.0,35.11,3.82,1.91,0.0,0.38,4.58,24.43,0.38
